LULC_name,lucode,C_above,C_below,C_soil,C_dead
crop_rainfed,10,3,2,8,1
crop_rainfed_herb,11,3,2,8,1
crop_rainfed_tree,12,3,2,8,1
crop_irrigated,20,3,2,8,1
crop_natural_mosaic,30,40,10,50,20
natural_crop_mosaic,40,40,10,50,20
tree_broadleaved_evergreen,50,215,135,122,60
tree_broadleaved_deciduous_closed_to_open_15,60,180,120,120,55
tree_broadleaved_deciduous_closed_40,61,180,120,120,55
tree_broadleaved_deciduous_open_15_40,62,180,120,120,55
tree_needleleaved_evergreen_closed_to_open_15,70,225,150,124,65
tree_needleleaved_evergreen_closed_to_open_15_extended,71,225,150,124,65
tree_needleleaved_evergreen_open_15_40,72,225,150,124,65
tree_needleleaved_deciduous_closed_to_open_15,80,175,110,118,52
tree_needleleaved_deciduous_closed_40,81,175,110,118,52
tree_needleleaved_deciduous_open_15_40,82,175,110,118,52
tree_mixed_type,90,80,50,100,25
mosaic_tree_and_shrub_50_herbaceous_cover_50,100,110,20,120,50
mosaic_herbaceous_cover_50_tree_and_shrub_50,110,100,20,115,50
shrubland,120,7,7,22,3
evergreen_shrubland,121,7,7,22,3
deciduous_shrubland,122,7,7,22,3
grassland,130,100,20,115,50
lichens_and_mosses,140,0,0,0,0
sparse_vegetation_tree_shrub_herbaceous_cover_15,150,0,0,0,0
sparse_tree_15,151,0,0,0,0
sparse_shrub_15,152,0,0,0,0
sparse_herbaceous_cover_15,153,0,0,0,0
tree_cover_flooded_fresh_or_brakish_water,160,80,50,100,25
tree_cover_flooded_saline_water,170,80,50,100,25
shrub_or_herbaceous_cover_flooded_fresh_saline_brakish_water,180,110,20,120,50
urban_areas,190,0,0,0,0
bare_areas,200,0,0,0,0
consolidated_bare_areas,201,0,0,0,0
unconsolidated_bare_areas,202,0,0,0,0
water_bodies,210,0,0,0,0
permanent_snow_and_ice,220,0,0,0,0